zion williamson
ja morant
r.j. barrett
jarret culver
brandon clarke
de'andre hunter
cam reddish
bol bol
sekou doumbouya
coby white
darius garland
bruno fernando
tyler herro
goga bitadze
romeo langford
p.j. washington
nickeil alexander-walker
grant williams
nassir little
rui hachimura
kevin porter jr.
jontay porter
matisse thybulle
cameron johnson
talen horton-tucker
keldon johnson
chuma okeke
shamorie ponds
ty jerome
luka samanic
